NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,173991,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,657193,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,43392,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,622415,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,121366,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,114815,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,67309,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,53905,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,180676,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,302287,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,420126,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,933474,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,156743,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,90569,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,264994,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,264273,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,3388128,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,130513,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,22353,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,334869,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,58189,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,697750,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,127354,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,92732,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,97391,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,69091,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,75144,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,161804,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,69497,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,40031,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,53262,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,93368,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,25834,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,65399,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,48781,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,70768,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,47321,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,53368,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,68871,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,79488,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,41278,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,22876,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,23158,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,23638,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,34179,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,86683,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,68072,1101500,Seringueiras - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,30438,1101559,Teixeirópolis - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,58647,1101609,Theobroma - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,75804,1101708,Urupá - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,45244,1101757,Vale do Anari - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,55792,1101807,Vale do Paraíso - RO,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,59175,1200013,Acrelândia - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,17655,1200054,Assis Brasil - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,84638,1200104,Brasiléia - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,37349,1200138,Bujari - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,44898,1200179,Capixaba - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,324891,1200203,Cruzeiro do Sul - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,74137,1200252,Epitaciolândia - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,96864,1200302,Feijó - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,16035,1200328,Jordão - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,36445,1200336,Mâncio Lima - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,24246,1200344,Manoel Urbano - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,31589,1200351,Marechal Thaumaturgo - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,68906,1200385,Plácido de Castro - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,17920,1200393,Porto Walter - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,2377292,1200401,Rio Branco - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,32610,1200427,Rodrigues Alves - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,12231,1200435,Santa Rosa do Purus - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,95070,1200450,Senador Guiomard - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,126488,1200500,Sena Madureira - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,100169,1200609,Tarauacá - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,57394,1200708,Xapuri - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,47999,1200807,Porto Acre - AC,37,Produto Interno Bruto a preços correntes,2004,2004
6,Município,40,Mil Reais,32142,1300029,Alvarães - AM,37,Produto Interno Bruto a preços correntes,2004,2004
