UF,ano,populacao,pib_mil_reais,pib_bilhoes,IDH,desmatamento_km2,ano_categorico,ano_normalizado,decada,desmatamento_km2_growth_rate,pib_bilhoes_growth_rate,populacao_growth_rate,IDH_growth_rate,desmatamento_lag1,desmatamento_lag2,pib_lag1,idh_lag1,desmatamento_ma3,desmatamento_std3,pib_ma3,pib_per_capita,desmatamento_per_capita,intensidade_desmatamento,idh_ajustado,categoria_idh,categoria_desmatamento,periodo,desmatamento_km2_mean,desmatamento_km2_std,desmatamento_desvio_estado,desmatamento_zscore_estado,desmatamento_km2_normalized,pib_bilhoes_normalized,populacao_normalized,pib_x_populacao,idh_x_pib,ano_x_pib
AC,2012,758786,10137925.0,10.14,0.701,270.5972747899349,2012,0.0,2010,-26.000706976589917,0.0,0.0,0.0,270.5972747899349,270.5972747899349,10.14,0.701,270.5972747899349,49.750056410650714,10.14,13363.451618769983,356.6186972215287,26.686121774155314,0.5517090378742507,Alto,Médio,Primeira_Metade,631.4455597724086,935.131085372022,-360.84828498247373,-0.3858798949442665,0.014586700845611495,0.00952231670520005,0.03481896095141798,7694090.04,7.10814,20401.68
AC,2013,776463,11473929.0,11.47,0.706,200.2400702851661,2013,0.1111111111111111,2010,-26.000706976589917,13.11637080867849,2.3296423497534136,0.7132667617689048,270.5972747899349,270.5972747899349,10.14,0.701,235.4186725375505,49.750056410650714,10.805,14772.114060811655,257.88745926742945,17.457721908035403,0.5882156557498208,Alto,Médio,Primeira_Metade,631.4455597724086,935.131085372022,-431.2054894872425,-0.4611176937997913,0.010747231840358718,0.01473411967553588,0.0369467716307959,8906030.610000001,8.09782,23089.11
AC,2014,790101,13458696.0,13.46,0.715,348.6095670054135,2014,0.2222222222222222,2010,74.09580735212053,17.349607672188316,1.7564262559838673,1.2747875354107707,200.2400702851661,270.5972747899349,11.47,0.706,273.14897069350485,74.21765459271195,11.69,17035.796689284027,441.2215235842171,25.899670654191194,0.5301756842698787,Alto,Médio,Primeira_Metade,631.4455597724086,935.131085372022,-282.8359927669951,-0.3024559841837306,0.01884391629495117,0.022532230886790242,0.03858840098223314,10634759.46,9.6239,27108.440000000002
AC,2015,803513,13622803.0,13.62,0.718,223.0037389458437,2015,0.3333333333333333,2010,-36.03051664317041,1.1887072808320909,1.6975044962606045,0.41958041958041203,348.6095670054135,200.2400702851661,13.46,0.715,257.2844587454744,79.90464756032952,12.85,16950.565827808634,277.5359439683536,16.373255429210257,0.587079153673621,Alto,Médio,Primeira_Metade,631.4455597724086,935.131085372022,-408.44182082656494,-0.43677493692135694,0.011989469943531103,0.023159214702770485,0.04020282632769994,10943847.059999999,9.77916,27444.3
AC,2016,816687,13754242.0,13.75,0.723,366.3337749119378,2016,0.4444444444444444,2010,64.27248109992527,0.9544787077826689,1.6395503246369403,0.6963788300835771,223.0037389458437,348.6095670054135,13.62,0.718,312.6490269543983,78.13926754891519,13.61,16836.31550398133,448.56080103140835,26.64245635723184,0.5291532810470109,Alto,Médio,Primeira_Metade,631.4455597724086,935.131085372022,-265.11178486047083,-0.28350226936900697,0.01981114555567519,0.02366863905325444,0.041788603206702295,11229446.25,9.94125,27720.0
AC,2017,829619,14272939.0,14.27,0.712,245.88760142074145,2017,0.5555555555555556,2010,-32.878806634782755,3.781818181818175,1.5834707788908053,-1.5214384508990375,366.3337749119378,223.0037389458437,13.75,0.723,278.40837175950765,77.00048818079362,13.88,17200.66681211496,296.38617416035726,17.231086294375714,0.5714801232375011,Alto,Médio,Segunda_Metade,631.4455597724086,935.131085372022,-385.55795835166714,-0.4123036485288917,0.013238267153586282,0.025706336455190253,0.04334525013240888,11838663.129999999,10.16024,28782.59
AC,2018,869265,15331124.0,15.33,0.733,426.7192525740764,2018,0.6666666666666666,2010,73.54240315838925,7.428170988086902,4.7788201572046995,2.949438202247201,245.88760142074145,366.3337749119378,14.27,0.712,346.3135429689185,92.06317819845003,14.450000000000001,17635.588686994186,490.8966225191126,27.835567682588152,0.5137661096796211,Alto,Médio,Segunda_Metade,631.4455597724086,935.131085372022,-204.72630719833222,-0.2189279240106602,0.02310644660527062,0.02986010423605941,0.04811750686118735,13325832.45,11.236889999999999,30935.94
AC,2019,881935,15630018.0,15.63,0.739,706.9390863272491,2019,0.7777777777777778,2010,65.66843001875758,1.9569471624266255,1.457553220249297,0.8185538881309684,426.7192525740764,245.88760142074145,15.33,0.733,459.84864677402237,232.30429506073594,15.076666666666668,17722.394507531735,801.5773116241551,45.229628043969875,0.4329387064362537,Alto,Alto,Segunda_Metade,631.4455597724086,935.131085372022,75.49352655484051,0.08073042136633392,0.03839834704283659,0.03103569889102238,0.049642616399441473,13784644.05,11.55057,31556.97
AC,2020,894470,16476370.0,16.48,0.746,3259.6579332627107,2020,0.8888888888888888,2020,361.0945973008179,5.438259756877795,1.4213065588733809,0.9472259810554773,706.9390863272491,426.7192525740764,15.63,0.739,1464.4387573880122,1561.0059916215369,15.813333333333333,18424.318311402283,3644.2339410630993,197.79477750380525,0.17513143348310994,Alto,Muito Alto,Segunda_Metade,631.4455597724086,935.131085372022,2628.212373490302,2.810528293415381,0.1777029848680787,0.034366550413417456,0.05115147575713804,14740865.6,12.294080000000001,33289.6
AC,2021,906876,21374442.0,21.37,0.71,266.4672982010126,2021,1.0,2020,-91.82529873819318,29.672330097087386,1.3869665835634537,-4.825737265415553,3259.6579332627107,706.9390863272491,16.48,0.746,1411.0214392636574,1616.0434753565928,17.826666666666668,23564.412334211072,293.82991522657187,12.469223125924783,0.5606145543659425,Alto,Médio,Segunda_Metade,631.4455597724086,935.131085372022,-364.978261571396,-0.3902963630240109,0.014361323541080986,0.053528743289313854,0.05264480716452405,19379940.12,15.1727,43188.770000000004
AM,2012,3590985,72242703.0,72.24,0.691,471.1661248038502,2012,0.0,2010,2.0815349901612157,0.0,0.0,0.0,471.1661248038502,471.1661248038502,72.24,0.691,471.1661248038502,6.9349410941312,72.24,20117.04309541811,131.20804592718997,6.5222331783478715,0.4696954261994924,Baixo,Médio,Primeira_Metade,1483.2243066083192,1818.9680966139126,-1012.0581818044691,-0.5563913867914775,0.025531960658988887,0.2528704102825346,0.3757355915065723,259412756.39999998,49.91783999999999,145346.87999999998
AM,2013,3807921,83051228.0,83.05,0.702,480.97361255342906,2013,0.1111111111111111,2010,2.0815349901612157,14.96400885935769,6.041127991344997,1.591895803183796,471.1661248038502,471.1661248038502,72.24,0.691,476.06986867863964,6.9349410941312,77.645,21809.801201232905,126.30871610871893,5.791374022317027,0.4740124969476281,Alto,Médio,Primeira_Metade,1483.2243066083192,1818.9680966139126,-1002.2506940548901,-0.5509996002242277,0.02606716590909731,0.2952310043497003,0.4018485483172035,316247839.05,58.30109999999999,167179.65
AM,2014,3873743,86668642.0,86.67,0.706,552.8243291380004,2014,0.2222222222222222,2010,14.938598440593198,4.358819987959062,1.7285547678116187,0.5698005698005604,480.97361255342906,471.1661248038502,83.05,0.702,501.65468883175987,44.58470332739762,80.65333333333332,22373.709355525134,142.7106364924055,6.378496932479525,0.45465542157747674,Alto,Médio,Primeira_Metade,1483.2243066083192,1818.9680966139126,-930.3999774703188,-0.5114987883527471,0.029988137489384656,0.30941651318625346,0.4097716548702393,335737305.81,61.18902,174553.38
AM,2015,3938336,86568185.0,86.57,0.711,687.359230161274,2015,0.3333333333333333,2010,24.33592263080193,-0.1153801776854868,1.6674570305774017,0.7082152974504208,552.8243291380004,480.97361255342906,86.67,0.706,573.7190572842345,104.76735196172359,85.42999999999999,21981.3647185004,174.53036768860605,7.939924109521475,0.4213684835398353,Alto,Alto,Primeira_Metade,1483.2243066083192,1818.9680966139126,-795.8650764470452,-0.43753657797989,0.03732985304274491,0.30902464830126575,0.41754682459434733,340941747.52,61.551269999999995,174438.55
AM,2016,4001667,89039782.0,89.04,0.711,1003.8487778121196,2016,0.4444444444444444,2010,46.04427114139256,2.853182395749121,1.608064928944608,0.0,687.359230161274,552.8243291380004,86.57,0.711,748.0107790371313,231.54852863110287,87.42666666666666,22250.72700951878,250.85764952758927,11.274132724754262,0.3548171937287092,Alto,Alto,Primeira_Metade,1483.2243066083192,1818.9680966139126,-479.37552879619966,-0.2635425710261647,0.05460103112955378,0.3187037109604609,0.4251700852231691,356308429.68,63.30744,179504.64
AM,2017,4063614,93240190.0,93.24,0.728,1009.9597752379856,2017,0.5555555555555556,2010,0.6087567730256094,4.7169811320754595,1.5480298585564434,2.390998593530247,1003.8487778121196,687.359230161274,89.04,0.711,900.3892610704597,184.51471926180085,89.61666666666666,22945.092717959924,248.53733037586386,10.831829421256817,0.36219630311447526,Alto,Alto,Segunda_Metade,1483.2243066083192,1818.9680966139126,-473.26453137033366,-0.26018297530964724,0.054934514891066814,0.33516203612994244,0.432626751408349,378891369.35999995,67.87872,188065.08
AM,2018,4080611,100109232.0,100.11,0.718,1051.2432341121364,2018,0.6666666666666666,2010,4.087633971800786,7.368082368082374,0.41827299541739027,-1.3736263736263798,1009.9597752379856,1003.8487778121196,93.24,0.728,1021.6839290540805,25.78081571675186,94.13,24533.0907552815,257.61907570021657,10.500881371612591,0.3500316237780452,Alto,Alto,Segunda_Metade,1483.2243066083192,1818.9680966139126,-431.98107249618283,-0.23748688792306702,0.057187398044862184,0.36208315372859445,0.4346727093263999,408509967.21,71.87898,202021.98
