UF,ano,desmatamento_previsto_km2,delta_previsto
AC,2022,133.2336491005063,-458.65805018184653
AC,2023,66.61682455025316,-458.73812802966853
AC,2024,33.30841227512658,-458.73812802966853
AC,2025,16.65420613756329,-458.73812802966853
AC,2026,8.327103068781645,-458.73812802966853
AM,2022,1981.2759040219426,506.573453158127
AM,2023,2341.1636626901304,359.8877586681878
AM,2024,2701.0514213583183,359.8877586681878
AM,2025,2984.4601318757705,283.40871051745233
AM,2026,1392.9242880342877,-1591.5358438414828
AP,2022,1.650013973275643,-606.6059331217675
AP,2023,0.8250069866378215,-606.6059331217675
AP,2024,0.41250349331891073,-606.6059331217674
AP,2025,0.20625174665945537,-606.6059331217675
AP,2026,0.10312587332972768,-606.6059331217674
MA,2022,1425.2316882768114,188.70613027490296
MA,2023,1690.2949528250906,265.06326454827916
MA,2024,2145.68646652207,455.3915136969793
MA,2025,2644.790371280879,499.10390475880877
MA,2026,3096.990964473127,452.200593192248
MT,2022,3454.3964973689526,1864.7109299465467
MT,2023,4039.9828474817296,585.5863501127767
MT,2024,4140.11468709775,100.13183961602068
MT,2025,4064.8428848626886,-75.2718022350614
MT,2026,3989.571082627627,-75.27180223506156
PA,2022,5276.761043086816,2533.269882914614
PA,2023,2020.97887035568,-3255.782172731136
PA,2024,4554.248753270293,2533.269882914613
PA,2025,5441.687710148915,887.4389568786225
PA,2026,2185.905537417779,-3255.782172731136
RO,2022,1018.915639798182,147.3549015886858
RO,2023,1166.2705413868678,147.3549015886858
RO,2024,1327.5643713102766,161.29382992340888
RO,2025,1508.087453259985,180.5230819497085
RO,2026,1765.413162637087,257.3257093771019
RR,2022,60.42240822299002,-482.4400855715438
RR,2023,30.21120411149501,-482.4400855715438
RR,2024,15.105602055747505,-482.440085571544
RR,2025,7.552801027873753,-482.4400855715438
RR,2026,3.7764005139368764,-482.4400855715438
TO,2022,1152.4606185841549,-104.76147366203757
TO,2023,1047.6991449221173,-104.7614736620375
TO,2024,936.1346218706225,-111.5645230514948
TO,2025,893.5364980531278,-42.59812381749463
TO,2026,869.9044134047878,-23.63208464834003
