NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,262077,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,1364694,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,69611,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,1186494,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,222021,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,193093,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,114768,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,107583,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,311788,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,598167,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,797296,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,1855359,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,272201,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,173651,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,477501,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,540862,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,9093824,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,235589,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,41934,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,627848,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,98818,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,1447187,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,324476,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,218431,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,160689,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,119974,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,152235,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,336265,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,95420,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,76701,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,120440,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,228321,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,39936,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,165716,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,210218,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,111130,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,90690,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,99692,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,114869,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,143417,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,70739,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,49986,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,43812,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,35105,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,58727,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,173610,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,117281,1101500,Seringueiras - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,50001,1101559,Teixeirópolis - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,105535,1101609,Theobroma - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,121359,1101708,Urupá - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,91480,1101757,Vale do Anari - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,89263,1101807,Vale do Paraíso - RO,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,121915,1200013,Acrelândia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,42017,1200054,Assis Brasil - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,190699,1200104,Brasiléia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,86265,1200138,Bujari - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,108531,1200179,Capixaba - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,771040,1200203,Cruzeiro do Sul - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,144997,1200252,Epitaciolândia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,200521,1200302,Feijó - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,41234,1200328,Jordão - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,95419,1200336,Mâncio Lima - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,55803,1200344,Manoel Urbano - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,96005,1200351,Marechal Thaumaturgo - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,132633,1200385,Plácido de Castro - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,60318,1200393,Porto Walter - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,5125851,1200401,Rio Branco - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,124221,1200427,Rodrigues Alves - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,35855,1200435,Santa Rosa do Purus - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,184620,1200450,Senador Guiomard - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,264528,1200500,Sena Madureira - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,227963,1200609,Tarauacá - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,117260,1200708,Xapuri - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,114661,1200807,Porto Acre - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,58365,1300029,Alvarães - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,36941,1300060,Amaturá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
