UF,ano,populacao,area_desmatada_km,IDH,pib_mil_reais,pib_bilhoes
AC,2012,758786,270.5972747899349,0.701,10137925.0,10.14
AC,2013,776463,200.2400702851661,0.706,11473929.0,11.47
AC,2014,790101,348.6095670054135,0.715,13458696.0,13.46
AC,2015,803513,223.0037389458437,0.718,13622803.0,13.62
AC,2016,816687,366.3337749119378,0.723,13754242.0,13.75
AC,2017,829619,245.88760142074145,0.712,14272939.0,14.27
AC,2018,869265,426.7192525740764,0.733,15331124.0,15.33
AC,2019,881935,706.9390863272491,0.739,15630018.0,15.63
AC,2020,894470,3259.6579332627107,0.746,16476370.0,16.48
AC,2021,906876,266.4672982010126,0.71,21374442.0,21.37
AM,2012,3590985,471.1661248038502,0.691,72242703.0,72.24
AM,2013,3807921,480.97361255342906,0.702,83051228.0,83.05
AM,2014,3873743,552.8243291380004,0.706,86668642.0,86.67
AM,2015,3938336,687.359230161274,0.711,86568185.0,86.57
AM,2016,4001667,1003.8487778121196,0.711,89039782.0,89.04
AM,2017,4063614,1009.9597752379856,0.728,93240190.0,93.24
AM,2018,4080611,1051.2432341121364,0.718,100109232.0,100.11
AM,2019,4144597,1556.8914681750362,0.726,108181093.0,108.18
AM,2020,4207714,6543.274063225545,0.727,116019141.0,116.02
AM,2021,4269995,1474.7024508638156,0.7,131531039.0,131.53
AP,2012,698602,19.527490927118997,0.707,11130869.0,11.13
AP,2013,734996,24.78377878474206,0.734,12763485.0,12.76
AP,2014,750912,29.105426206371742,0.725,13400286.0,13.4
AP,2015,766679,19.109309712492283,0.728,13861293.0,13.86
AP,2016,782295,12.413974140362104,0.733,14342136.0,14.34
AP,2017,797722,17.2683020287453,0.732,15481909.0,15.48
AP,2018,829494,24.56686850837879,0.741,16795207.0,16.8
AP,2019,845731,39.06157492050759,0.737,17496662.0,17.5
AP,2020,861773,761.7174870407162,0.724,18469113.0,18.47
AP,2021,877613,3.300027946551286,0.688,20099851.0,20.1
MA,2012,6714314,334.52347176545067,0.648,60490110.0,60.49
MA,2013,6794301,297.3889741364049,0.661,67694839.0,67.69
MA,2014,6850884,285.9520787493498,0.663,76842026.0,76.84
MA,2015,6904241,217.41806094801987,0.669,78475993.0,78.48
MA,2016,6954036,247.2381415375187,0.68,85310044.0,85.31
MA,2017,7000229,272.9848446711138,0.685,89542756.0,89.54
MA,2018,7035055,183.25254236614356,0.686,98179501.0,98.18
MA,2019,7075181,272.67975878567034,0.694,97339951.0,97.34
MA,2020,7114598,4235.281677571428,0.699,106915959.0,106.92
MA,2021,7153262,1236.5255580019084,0.676,124980719.0,124.98
MT,2012,3115336,787.4781813583982,0.742,79665685.0,79.67
MT,2013,3182113,1105.745118279118,0.758,89212915.0,89.21
MT,2014,3224357,1099.6636355506423,0.762,101234522.0,101.23
MT,2015,3265486,1495.6677788781367,0.77,107418326.0,107.42
MT,2016,3305531,1397.86067646631,0.769,123880298.0,123.88
MT,2017,3344544,1454.142274269368,0.77,126845895.0,126.85
MT,2018,3441998,1440.99233947142,0.778,137442863.0,137.44
MT,2019,3484466,1882.0407399334265,0.779,142122023.0,142.12
MT,2020,3526220,13646.99105881902,0.756,178649564.0,178.65
MT,2021,3567234,1589.685567422406,0.736,233390203.0,233.39
PA,2012,7792561,1698.3607938498085,0.666,107080878.0,107.08
PA,2013,7969654,2100.045560934069,0.671,121224851.0,121.22
PA,2014,8073924,1796.144753062055,0.684,124584945.0,124.58
PA,2015,8175113,2303.7600984185638,0.689,130899505.0,130.9
PA,2016,8272724,2763.875197882277,0.687,138107518.0,138.11
PA,2017,8366628,2572.8084648391127,0.694,155232405.0,155.23
PA,2018,8513497,2608.756010973136,0.707,161349601.0,161.35
PA,2019,8602865,4465.604572436746,0.704,178376983.0,178.38
PA,2020,8690745,18328.02264154576,0.719,215935606.0,215.94
PA,2021,8777124,2743.4911601722024,0.69,262904981.0,262.9
RO,2012,1590011,690.6184875137558,0.694,30112721.0,30.11
RO,2013,1728214,963.6813991437756,0.687,31121412.0,31.12
RO,2014,1748531,761.2707959074123,0.692,34030982.0,34.03
RO,2015,1768204,960.6544482020856,0.706,36563334.0,36.56
RO,2016,1787279,1194.0478165529348,0.715,39460358.0,39.46
RO,2017,1805788,1277.8962145615951,0.721,43516144.0,43.52
RO,2018,1757589,1211.7433024576676,0.73,44913978.0,44.91
RO,2019,1777225,1401.1548074932468,0.73,47091334.0,47.09
RO,2020,1796460,5482.898133133517,0.739,51598745.0,51.6
RO,2021,1815278,871.5607382094962,0.7,58170100.0,58.17
RR,2012,469524,107.4720019696252,0.738,7711468.0,7.71
RR,2013,488072,148.41412189535134,0.738,9010725.0,9.01
RR,2014,496936,189.05890046536248,0.744,9744122.0,9.74
RR,2015,505665,154.29364635726034,0.748,10242903.0,10.24
RR,2016,514229,228.52873589154996,0.752,11013236.0,11.01
RR,2017,522636,121.8815765698708,0.746,12104706.0,12.1
RR,2018,576568,126.64818891706932,0.76,13369988.0,13.37
RR,2019,605761,543.4634395070918,0.749,14292227.0,14.29
RR,2020,631181,2024.3909565593056,0.739,16024274.0,16.02
RR,2021,652713,120.84481644598004,0.699,18202580.0,18.2
TO,2012,1417694,47.63924512408774,0.71,20684430.0,20.68
TO,2013,1478164,77.11606716696471,0.719,23796659.0,23.8
TO,2014,1496880,45.06402780051187,0.737,26189323.0,26.19
TO,2015,1515126,55.3011199829867,0.73,28930288.0,28.93
TO,2016,1532902,53.46180120533159,0.734,31584812.0,31.58
TO,2017,1550194,28.15613080953856,0.74,34108132.0,34.11
TO,2018,1555229,22.7846676493304,0.749,35666181.0,35.67
TO,2019,1572866,28.140260944978916,0.751,39355940.0,39.36
TO,2020,1590248,4838.011709064085,0.755,43649801.0,43.65
TO,2021,1607363,1257.2220922461925,0.731,51780763.0,51.78
