UF,ano,populacao,area_desmatada_km,IDH,pib_mil_reais,pib_bilhoes,pib_per_capita,desmate_per_capita
AC,2012,758786,270.5972747899349,0.701,10137925.0,10.14,13360.716987398291,0.00035661869722152873
AC,2013,776463,200.2400702851661,0.706,11473929.0,11.47,14777.174186020455,0.00025788745926742947
AC,2014,790101,348.6095670054135,0.715,13458696.0,13.46,17034.14626737594,0.0004412215235842171
AC,2015,803513,223.0037389458437,0.718,13622803.0,13.62,16954.054259234137,0.0002775359439683536
AC,2016,816687,366.3337749119378,0.723,13754242.0,13.75,16841.50966037172,0.00044856080103140833
AC,2017,829619,245.88760142074145,0.712,14272939.0,14.27,17204.20940214725,0.0002963861741603573
AC,2018,869265,426.7192525740764,0.733,15331124.0,15.33,17636.881733418464,0.0004908966225191125
AC,2019,881935,706.9390863272491,0.739,15630018.0,15.63,17722.414917199112,0.000801577311624155
AC,2020,894470,3259.6579332627107,0.746,16476370.0,16.48,18420.260042259662,0.0036442339410630996
AC,2021,906876,266.4672982010126,0.71,21374442.0,21.37,23569.310468024294,0.0002938299152265719
AM,2012,3590985,471.1661248038502,0.691,72242703.0,72.24,20117.79581368343,0.00013120804592718996
AM,2013,3807921,480.97361255342906,0.702,83051228.0,83.05,21810.12368691472,0.00012630871610871892
AM,2014,3873743,552.8243291380004,0.706,86668642.0,86.67,22373.35879019336,0.00014271063649240551
AM,2015,3938336,687.359230161274,0.711,86568185.0,86.57,21980.903863966912,0.00017453036768860604
AM,2016,4001667,1003.8487778121196,0.711,89039782.0,89.04,22250.672532222197,0.00025085764952758927
AM,2017,4063614,1009.9597752379856,0.728,93240190.0,93.24,22945.139474369367,0.00024853733037586383
AM,2018,4080611,1051.2432341121364,0.718,100109232.0,100.11,24532.902548172322,0.00025761907570021655
AM,2019,4144597,1556.8914681750362,0.726,108181093.0,108.18,26101.715800112772,0.0003756436314978359
AM,2020,4207714,6543.274063225545,0.727,116019141.0,116.02,27572.962658583736,0.0015550662576462053
AM,2021,4269995,1474.7024508638156,0.7,131531039.0,131.53,30803.558083791668,0.00034536397603833626
AP,2012,698602,19.527490927119,0.707,11130869.0,11.13,15933.06202959625,2.7952240227080655e-05
AP,2013,734996,24.78377878474206,0.734,12763485.0,12.76,17365.380219756298,3.371961042610036e-05
AP,2014,750912,29.105426206371742,0.725,13400286.0,13.4,17845.348056762978,3.876010265699808e-05
AP,2015,766679,19.109309712492283,0.728,13861293.0,13.86,18079.656544655587,2.492478561756913e-05
AP,2016,782295,12.413974140362104,0.733,14342136.0,14.34,18333.411309033036,1.5868660978738334e-05
AP,2017,797722,17.2683020287453,0.732,15481909.0,15.48,19407.64953204249,2.1647017418029463e-05
AP,2018,829494,24.56686850837879,0.741,16795207.0,16.8,20247.53283326944,2.9616692234517414e-05
AP,2019,845731,39.06157492050759,0.737,17496662.0,17.5,20688.211736355886,4.6186760235237435e-05
AP,2020,861773,761.7174870407162,0.724,18469113.0,18.47,21431.52895251998,0.0008838957440540794
AP,2021,877613,3.300027946551286,0.688,20099851.0,20.1,22902.863790759708,3.7602313850766635e-06
MA,2012,6714314,334.52347176545067,0.648,60490110.0,60.49,9009.127365803863,4.982243484076715e-05
MA,2013,6794301,297.3889741364049,0.661,67694839.0,67.69,9963.473652403683,4.377035608761003e-05
MA,2014,6850884,285.9520787493498,0.663,76842026.0,76.84,11216.366530217123,4.1739442493749685e-05
MA,2015,6904241,217.41806094801987,0.669,78475993.0,78.48,11366.346134209394,3.149050865229355e-05
MA,2016,6954036,247.2381415375187,0.68,85310044.0,85.31,12267.702381753561,3.5553186888523256e-05
MA,2017,7000229,272.9848446711138,0.685,89542756.0,89.54,12791.403824074898,3.8996559208436444e-05
MA,2018,7035055,183.2525423661436,0.686,98179501.0,98.18,13955.754574768784,2.6048487519449895e-05
MA,2019,7075181,272.67975878567034,0.694,97339951.0,97.34,13757.944991089274,3.854032268371231e-05
MA,2020,7114598,4235.281677571428,0.699,106915959.0,106.92,15027.688001486522,0.0005952945869283729
MA,2021,7153262,1236.5255580019084,0.676,124980719.0,124.98,17471.849765883035,0.0001728617738315622
MT,2012,3115336,787.4781813583982,0.742,79665685.0,79.67,25572.10040907305,0.00025277471879707296
MT,2013,3182113,1105.745118279118,0.758,89212915.0,89.21,28035.747002070635,0.00034748769709910305
MT,2014,3224357,1099.6636355506423,0.762,101234522.0,101.23,31396.80934834449,0.00034104897055463844
MT,2015,3265486,1495.6677788781367,0.77,107418326.0,107.42,32895.05023142038,0.000458023025937988
