UF,ano,area_km
AC,2012,270.5972747899349
AC,2013,200.2400702851661
AC,2014,348.6095670054135
AC,2015,223.00373894584374
AC,2016,366.33377491193784
AC,2017,245.88760142074142
AC,2018,426.7192525740764
AC,2019,706.9390863272491
AC,2020,3259.6579332627107
AC,2021,266.4672982010126
AM,2012,471.1661248038502
AM,2013,480.97361255342906
AM,2014,552.8243291380004
AM,2015,687.359230161274
AM,2016,1003.8487778121195
AM,2017,1009.9597752379855
AM,2018,1051.2432341121364
AM,2019,1556.8914681750362
AM,2020,6543.274063225545
AM,2021,1474.7024508638156
AP,2012,19.527490927118993
AP,2013,24.78377878474206
AP,2014,29.105426206371742
AP,2015,19.109309712492283
AP,2016,12.413974140362104
AP,2017,17.2683020287453
AP,2018,24.56686850837879
AP,2019,39.06157492050759
AP,2020,761.7174870407162
AP,2021,3.300027946551286
MA,2012,334.52347176545067
MA,2013,297.3889741364049
MA,2014,285.9520787493498
MA,2015,217.41806094801987
MA,2016,247.2381415375187
MA,2017,272.9848446711138
MA,2018,183.25254236614353
MA,2019,272.67975878567034
MA,2020,4235.281677571428
MA,2021,1236.5255580019084
MT,2012,787.4781813583982
MT,2013,1105.745118279118
MT,2014,1099.6636355506423
MT,2015,1495.6677788781367
MT,2016,1397.86067646631
MT,2017,1454.142274269368
MT,2018,1440.99233947142
MT,2019,1882.0407399334265
MT,2020,13646.99105881902
MT,2021,1589.685567422406
PA,2012,1698.3607938498085
PA,2013,2100.045560934069
PA,2014,1796.1447530620553
PA,2015,2303.7600984185633
PA,2016,2763.875197882277
PA,2017,2572.8084648391127
PA,2018,2608.756010973136
PA,2019,4465.604572436746
PA,2020,18328.022641545762
PA,2021,2743.4911601722024
RO,2012,690.6184875137558
RO,2013,963.6813991437756
RO,2014,761.2707959074123
RO,2015,960.6544482020856
RO,2016,1194.0478165529348
RO,2017,1277.8962145615953
RO,2018,1211.7433024576676
RO,2019,1401.1548074932468
RO,2020,5482.898133133517
RO,2021,871.5607382094962
RR,2012,107.47200196962521
RR,2013,148.41412189535134
RR,2014,189.05890046536248
RR,2015,154.29364635726034
RR,2016,228.52873589154993
RR,2017,121.8815765698708
RR,2018,126.64818891706933
RR,2019,543.4634395070918
RR,2020,2024.3909565593056
RR,2021,120.84481644598003
TO,2012,47.63924512408774
TO,2013,77.11606716696471
TO,2014,45.06402780051187
TO,2015,55.3011199829867
TO,2016,53.46180120533159
TO,2017,28.156130809538556
TO,2018,22.784667649330398
TO,2019,28.140260944978913
TO,2020,4838.011709064085
TO,2021,1257.2220922461925
