Sigla,ano,IDH
AC,2012,0.701
AM,2012,0.691
AP,2012,0.707
MA,2012,0.648
MT,2012,0.742
PA,2012,0.666
RO,2012,0.694
RR,2012,0.738
TO,2012,0.71
AC,2013,0.706
AM,2013,0.702
AP,2013,0.734
MA,2013,0.661
MT,2013,0.758
PA,2013,0.671
RO,2013,0.687
RR,2013,0.738
TO,2013,0.719
AC,2014,0.715
AM,2014,0.706
AP,2014,0.725
MA,2014,0.663
MT,2014,0.762
PA,2014,0.684
RO,2014,0.692
RR,2014,0.744
TO,2014,0.737
AC,2015,0.718
AM,2015,0.711
AP,2015,0.728
MA,2015,0.669
MT,2015,0.77
PA,2015,0.689
RO,2015,0.706
RR,2015,0.748
TO,2015,0.73
AC,2016,0.723
AM,2016,0.711
AP,2016,0.733
MA,2016,0.68
MT,2016,0.769
PA,2016,0.687
RO,2016,0.715
RR,2016,0.752
TO,2016,0.734
AC,2017,0.712
AM,2017,0.728
AP,2017,0.732
MA,2017,0.685
MT,2017,0.77
PA,2017,0.694
RO,2017,0.721
RR,2017,0.746
TO,2017,0.74
AC,2018,0.733
AM,2018,0.718
AP,2018,0.741
MA,2018,0.686
MT,2018,0.778
PA,2018,0.707
RO,2018,0.73
RR,2018,0.76
TO,2018,0.749
AC,2019,0.739
AM,2019,0.726
AP,2019,0.737
MA,2019,0.694
MT,2019,0.779
PA,2019,0.704
RO,2019,0.73
RR,2019,0.749
TO,2019,0.751
AC,2020,0.746
AM,2020,0.727
AP,2020,0.724
MA,2020,0.699
MT,2020,0.756
PA,2020,0.719
RO,2020,0.739
RR,2020,0.739
TO,2020,0.755
AC,2021,0.71
AM,2021,0.7
AP,2021,0.688
MA,2021,0.676
MT,2021,0.736
PA,2021,0.69
RO,2021,0.7
RR,2021,0.699
TO,2021,0.731
