UF,ano,populacao
AC,2012,758786
AC,2013,776463
AC,2014,790101
AC,2015,803513
AC,2016,816687
AC,2017,829619
AC,2018,869265
AC,2019,881935
AC,2020,894470
AC,2021,906876
AM,2012,3590985
AM,2013,3807921
AM,2014,3873743
AM,2015,3938336
AM,2016,4001667
AM,2017,4063614
AM,2018,4080611
AM,2019,4144597
AM,2020,4207714
AM,2021,4269995
AP,2012,698602
AP,2013,734996
AP,2014,750912
AP,2015,766679
AP,2016,782295
AP,2017,797722
AP,2018,829494
AP,2019,845731
AP,2020,861773
AP,2021,877613
MA,2012,6714314
MA,2013,6794301
MA,2014,6850884
MA,2015,6904241
MA,2016,6954036
MA,2017,7000229
MA,2018,7035055
MA,2019,7075181
MA,2020,7114598
MA,2021,7153262
MT,2012,3115336
MT,2013,3182113
MT,2014,3224357
MT,2015,3265486
MT,2016,3305531
MT,2017,3344544
MT,2018,3441998
MT,2019,3484466
MT,2020,3526220
MT,2021,3567234
PA,2012,7792561
PA,2013,7969654
PA,2014,8073924
PA,2015,8175113
PA,2016,8272724
PA,2017,8366628
PA,2018,8513497
PA,2019,8602865
PA,2020,8690745
PA,2021,8777124
RO,2012,1590011
RO,2013,1728214
RO,2014,1748531
RO,2015,1768204
RO,2016,1787279
RO,2017,1805788
RO,2018,1757589
RO,2019,1777225
RO,2020,1796460
RO,2021,1815278
RR,2012,469524
RR,2013,488072
RR,2014,496936
RR,2015,505665
RR,2016,514229
RR,2017,522636
RR,2018,576568
RR,2019,605761
RR,2020,631181
RR,2021,652713
TO,2012,1417694
TO,2013,1478164
TO,2014,1496880
TO,2015,1515126
TO,2016,1532902
TO,2017,1550194
TO,2018,1555229
TO,2019,1572866
TO,2020,1590248
TO,2021,1607363
